Date,Open,High,Low,Close ,Adj Close ,Volume
7-Mar-24,98.78,98.88,96.58,97.81,97.81,"3,646,400"
6-Mar-24,100.05,100.89,99.14,99.38,99.38,"3,788,500"
5-Mar-24,98.61,100.3,98.16,98.25,98.25,"3,789,800"
4-Mar-24,103,103.05,100.36,100.72,100.72,"4,629,300"
1-Mar-24,102.5,104.75,102.5,104.02,104.02,"3,761,600"
29-Feb-24,103.07,104,100.85,101.33,101.33,"7,489,300"
28-Feb-24,107.85,108.09,103.25,103.31,103.31,"11,392,200"
27-Feb-24,112.07,114.11,111.41,112.36,112.36,"6,067,700"
26-Feb-24,110.78,111.48,110.05,110.59,110.59,"2,858,000"
23-Feb-24,112.02,112.79,110.03,111.36,111.36,"3,842,000"
22-Feb-24,108.45,111.88,106.85,110.59,110.59,"5,588,300"
21-Feb-24,107.1,108.7,106.58,107.22,107.22,"3,276,800"
20-Feb-24,106.35,106.5,104.5,105.54,105.54,"1,978,800"
16-Feb-24,108.8,109.66,107.06,107.12,107.12,"1,953,700"
15-Feb-24,106.14,107.02,105.55,106.84,106.84,"1,427,900"
14-Feb-24,105.62,107.07,105.01,106.71,106.71,"2,367,200"
13-Feb-24,104.93,106,103.29,103.81,103.81,"1,631,900"
12-Feb-24,106.47,109.08,106.4,106.71,106.71,"1,750,500"
9-Feb-24,103.56,105.78,102.89,105.69,105.69,"1,875,900"
8-Feb-24,104.62,104.9,102.87,103.17,103.17,"1,906,900"
7-Feb-24,104.75,106.33,104.16,105.3,105.3,"3,053,400"
6-Feb-24,107.2,108.34,105.14,107.56,107.56,"3,693,900"
5-Feb-24,102.73,104.29,102.05,103.61,103.61,"2,070,500"
2-Feb-24,103.68,103.73,102.16,102.79,102.79,"2,393,500"
1-Feb-24,106.32,107.52,104.9,104.98,104.98,"1,963,200"
31-Jan-24,103.59,107.61,103.32,105.31,105.31,"2,001,900"
30-Jan-24,104.71,106.17,103.75,105.29,105.29,"2,428,400"
29-Jan-24,108.4,108.43,105.86,107.76,107.76,"2,330,300"
26-Jan-24,106.92,108.46,106.68,107.66,107.66,"2,153,300"
25-Jan-24,109.8,109.85,106.82,108.61,108.61,"2,961,300"
24-Jan-24,110.79,111.39,108.71,110.62,110.62,"4,918,800"
23-Jan-24,103.47,107.83,103.4,107.19,107.19,"6,239,000"
22-Jan-24,98.03,100.42,97.51,99.72,99.72,"5,070,200"
19-Jan-24,101.4,104.01,100.1,102.65,102.65,"4,812,900"
18-Jan-24,103.3,104.51,101.63,103.64,103.64,"3,913,800"
17-Jan-24,99.26,102.23,98.98,102.2,102.2,"4,605,500"
16-Jan-24,104.65,105.78,102.76,104.5,104.5,"6,127,700"
12-Jan-24,116.18,116.5,108.96,109.11,109.11,"6,443,300"
11-Jan-24,117.07,117.64,115.97,117.32,117.32,"1,632,800"
10-Jan-24,116.38,116.75,114.54,115.79,115.79,"1,984,500"
9-Jan-24,116.27,116.93,115.5,116.2,116.2,"2,373,800"
8-Jan-24,115.3,118.3,114.83,117.9,117.9,"2,580,300"
5-Jan-24,118.03,119.75,117.02,118.15,118.15,"2,440,100"
4-Jan-24,117.48,119.19,116.4,118.32,118.32,"2,199,400"
3-Jan-24,113.81,117.76,113.02,117.69,117.69,"2,843,900"
2-Jan-24,116.89,116.89,114.25,115.34,115.34,"3,009,300"
29-Dec-23,119,120.25,118.06,119.09,119.09,"2,655,700"
28-Dec-23,117,119.04,116.8,117.82,117.82,"2,751,100"
27-Dec-23,114.93,115.6,113.68,114.39,114.39,"1,648,800"
26-Dec-23,115.94,116.61,114.08,114.67,114.67,"1,585,900"
22-Dec-23,114.13,116.7,113.6,114.74,114.74,"2,717,000"
21-Dec-23,114.19,117.67,114.07,117.61,117.61,"4,066,000"
20-Dec-23,113.29,114.17,111.23,111.23,111.23,"3,249,900"
19-Dec-23,112.26,115.43,112.26,114.62,114.62,"2,433,300"
18-Dec-23,112.65,112.87,111.57,112.26,112.26,"1,767,100"
15-Dec-23,115.93,116.15,114.05,114.12,114.12,"2,306,100"
14-Dec-23,111.25,115.29,111.23,112.91,112.91,"3,184,900"
13-Dec-23,112.66,112.66,109.53,112.36,112.36,"2,782,300"
12-Dec-23,113.48,113.65,111.74,113.15,113.15,"1,602,100"
11-Dec-23,111.27,114.15,110.88,113.56,113.56,"1,927,700"
8-Dec-23,114.46,114.46,112.91,113.45,113.45,"1,909,500"
7-Dec-23,114.41,116.21,114.22,115.78,115.78,"2,751,800"
6-Dec-23,115.25,115.67,113.32,113.38,113.38,"2,364,800"
5-Dec-23,111.88,114.68,111.73,113.55,113.55,"2,411,100"
4-Dec-23,114.77,114.77,112.41,113.7,113.7,"4,191,500"
1-Dec-23,116.2,117.41,114.7,116.77,116.77,"2,418,700"
30-Nov-23,118.33,118.74,116.27,118.66,118.66,"1,925,600"
29-Nov-23,118.11,120.28,117.42,118.03,118.03,"2,593,400"
28-Nov-23,123.02,123.74,119.48,119.63,119.63,"3,736,700"
27-Nov-23,123,126.23,122.2,124,124,"4,639,500"
24-Nov-23,121.08,124.83,120.93,123.4,123.4,"4,926,900"
22-Nov-23,115.82,121.18,115.04,120.12,120.12,"7,160,100"
21-Nov-23,111.22,116.07,109.35,113.42,113.42,"6,375,500"
20-Nov-23,108.39,111.63,107.95,111.29,111.29,"3,955,700"
17-Nov-23,108.3,108.86,106.91,108.1,108.1,"2,640,100"
16-Nov-23,108.61,110.11,107.25,109.29,109.29,"3,128,000"
15-Nov-23,112.6,114.52,111.46,112.84,112.84,"3,603,100"
14-Nov-23,108.77,109.9,108.09,109.54,109.54,"2,105,600"
13-Nov-23,107.6,108.5,106.14,107.21,107.21,"2,545,100"
10-Nov-23,104.37,105.97,103.46,105.94,105.94,"1,658,700"
9-Nov-23,106.86,107.29,104.83,105.16,105.16,"1,856,300"
8-Nov-23,107.57,108.78,107.13,107.42,107.42,"1,491,600"
7-Nov-23,108.13,108.95,106.8,108.01,108.01,"1,888,200"
6-Nov-23,110.36,110.56,107.82,108.4,108.4,"1,997,000"
3-Nov-23,109.06,111.41,108.99,109.66,109.66,"2,821,200"
